UUID,DATUM_AEND,DATUM_ERST,ERSTELL_J,ERSTELL_M,REVISION_J,REVISION_M,GRUND_AEND,HERKUNFT,HERKUNFT_J,HERKUNFT_M,OBJEKTART,REVISION_Q,ICC,KANTONSNUM,SEE_FLAECH,KANTONSFLA,KT_TEIL,NAME,EINWOHNERZ
{0B2364ED-49E0-4D53-A33C-C684DD530B57},2018-11-22,2012-10-26,"2012","10","2019","1",Verbessert,AV,"2019","1",Kanton,2018_Aufbau,CH,"18",,710530.000000000000000,"0",Graub�nden,"197888"
{DDD56CEF-0E61-4EED-85ED-F67A459C93ED},2018-11-22,2012-10-26,"2012","10","2019","1",Verbessert,AV,"2019","1",Kanton,2018_Aufbau,CH,"2",11897.000000000000000,595952.000000000000000,"1",Bern,"1031126"
{54B25E50-30A7-4995-ADE3-5FFF6E13A995},2018-11-22,2012-10-26,"2012","10","2019","1",Verbessert,AV,"2019","1",Kanton,2018_Aufbau,CH,"23",1060.000000000000000,522463.000000000000000,"0",Valais,"341463"
{921DFEF2-6D91-4CB8-9CFC-2A831C412020},2018-11-22,2012-10-26,"2012","10","2019","1",Verbessert,AV,"2019","1",Kanton,2018_Aufbau,CH,"22",39097.000000000000000,321201.000000000000000,"1",Vaud,"793129"
{95F10F52-8B2F-4D6A-AF7E-D4F915E42F89},2018-11-22,2012-10-26,"2012","10","2019","1",Verbessert,AV,"2019","1",Kanton,2018_Aufbau,CH,"21",7147.000000000000000,281216.000000000000000,"0",Ticino,"353709"
{05D55405-466B-4ECC-83C7-A906DEB0D607},2017-12-04,2012-10-26,"2012","10","2019","1",Verbessert,swisstopo,"2018","1",Kanton,2018_Aufbau,CH,"17",7720.000000000000000,202820.000000000000000,"1",St. Gallen,"504686"
{FB7105B8-6D7C-4787-846E-17B2BC145C6E},2018-11-22,2012-10-26,"2012","10","2019","1",Verbessert,AV,"2019","1",Kanton,2018_Aufbau,CH,"1",6811.000000000000000,172894.000000000000000,"0",Z�rich,"1504346"
{B01E1FB4-9A9B-48AC-BCA3-7D6D93BA23F3},2015-12-09,2012-10-26,"2012","10","2019","1",Verbessert,AV,"2015","12",Kanton,2018_Aufbau,CH,"10",7818.000000000000000,167142.000000000000000,"1",Fribourg,"315074"
{A7C284E4-45C4-44E2-ABAF-D1A0EAB10397},2016-12-09,2012-10-26,"2012","10","2019","1",Verbessert,swisstopo,"2017","1",Kanton,2018_Aufbau,CH,"3",6438.000000000000000,149352.000000000000000,"0",Luzern,"406506"
{E11CD2CA-2E2D-415C-8789-C10D7C26E441},2016-12-09,2012-10-26,"2012","10","2019","1",Verbessert,swisstopo,"2017","1",Kanton,2018_Aufbau,CH,"19",870.000000000000000,140380.000000000000000,"1",Aargau,"670988"
{E7A83048-1B67-44C8-9558-E52777CC4022},2016-12-09,2012-10-26,"2012","10","2019","1",Verbessert,swisstopo,"2017","1",Kanton,2018_Aufbau,CH,"4",1922.000000000000000,107654.000000000000000,"0",Uri,"36299"
{87370D3F-DBBE-4D05-AF85-C358C3924B3D},2018-11-22,2012-10-26,"2012","10","2019","1",Verbessert,AV,"2019","1",Kanton,2018_Aufbau,CH,"20",13121.000000000000000,99433.000000000000000,"1",Thurgau,"273801"
{F06DD902-ABC6-4331-81F5-19B85D091E5E},2016-12-09,2012-10-26,"2012","10","2019","1",Verbessert,swisstopo,"2017","1",Kanton,2018_Aufbau,CH,"5",5654.000000000000000,90788.000000000000000,"0",Schwyz,"157301"
{1581348F-0FAF-44B1-A462-0550A3DE2B9E},2015-12-08,2012-10-26,"2012","10","2019","1",Verbessert,AV,"2015","12",Kanton,2018_Aufbau,CH,"26",,83851.000000000000000,"0",Jura,"73290"
{A633EA6B-EA4F-4510-A2B2-477BE4A8E794},2018-11-22,2012-10-26,"2012","10","2019","1",Verbessert,AV,"2019","1",Kanton,2018_Aufbau,CH,"24",8542.000000000000000,80216.000000000000000,"0",Neuch�tel,"177964"
{DF94DB80-AADE-4B0C-91C2-26BA907753FD},2015-12-08,2012-10-26,"2012","10","2019","1",Verbessert,AV,"2015","12",Kanton,2018_Aufbau,CH,"11",,79045.000000000000000,"1",Solothurn,"271432"
{5AB3C7C0-CAA5-4B89-8712-E77E2A06F4D9},2016-12-09,2012-10-26,"2012","10","2019","1",Verbessert,swisstopo,"2017","1",Kanton,2018_Aufbau,CH,"8",461.000000000000000,68531.000000000000000,"0",Glarus,"40349"
{F78C655C-6AE1-49EA-BA30-575F195C8AEC},2015-12-08,2012-10-26,"2012","10","2019","1",Verbessert,AV,"2015","12",Kanton,2018_Aufbau,CH,"13",,51767.000000000000000,"1",Basel-Landschaft,"287023"
{A0B4BCED-C1F9-47C6-831F-54282BFBA3CE},2015-12-08,2012-10-26,"2012","10","2019","1",Verbessert,AV,"2015","12",Kanton,2018_Aufbau,CH,"6",996.000000000000000,49058.000000000000000,"1",Obwalden,"37575"
{E62B8D02-0D76-4D8D-B602-3AEAEEEF2BB5},2016-12-09,2012-10-26,"2012","10","2019","1",Verbessert,swisstopo,"2017","1",Kanton,2018_Aufbau,CH,"7",3450.000000000000000,27585.000000000000000,"0",Nidwalden,"42969"
{C0A13B16-7F38-4093-AE0D-D3483C1C6C34},2015-12-08,2012-10-26,"2012","10","2019","1",Verbessert,AV,"2015","12",Kanton,2018_Aufbau,CH,"25",3669.000000000000000,28249.000000000000000,"1",Gen�ve,"495249"
{37148FC1-F279-421F-B212-B4617507DFAD},2016-12-09,2012-10-26,"2012","10","2019","1",Verbessert,swisstopo,"2017","1",Kanton,2018_Aufbau,CH,"14",27.000000000000000,29842.000000000000000,"1",Schaffhausen,"81351"
{5B0F52B1-5FE2-465F-835E-0F18F2E348CE},2015-12-08,2012-10-26,"2012","10","2019","1",Verbessert,AV,"2015","12",Kanton,2018_Aufbau,CH,"15",,24284.000000000000000,"0",Appenzell Ausserrhoden,"55178"
{1808E458-6C81-435D-8BF0-20047723927D},2015-12-08,2012-10-26,"2012","10","2019","1",Verbessert,AV,"2015","12",Kanton,2018_Aufbau,CH,"9",3158.000000000000000,23873.000000000000000,"0",Zug,"125421"
{3F24991F-68F8-42E5-81EA-D4C8C3E21FE4},2015-12-08,2012-10-26,"2012","10","2019","1",Verbessert,AV,"2015","12",Kanton,2018_Aufbau,CH,"16",,17248.000000000000000,"1",Appenzell Innerrhoden,"16105"
